Gene	CLs	DCLs	DCL.same	DCL.diff	DCL.switch	p	q
ZNF804A	ZNF804A	179	27	27	0	0	1.39639860223861e-35	1.85721014097735e-32
NRSN1	NRSN1	138	15	15	0	0	3.20828361604006e-18	2.13350860466664e-15
WASF1	WASF1	278	16	16	0	0	6.31698519642854e-15	2.80053010374999e-12
MAGEE1	MAGEE1	165	8	8	0	0	1.37822643212928e-07	4.58260288682985e-05
CAP2	CAP2	198	8	8	0	0	5.51923868929467e-07	0.000146811749135238
MAP3K21	MAP3K21	23	4	4	0	0	1.17044620938247e-06	0.000259448909746447
CNR1	CNR1	303	9	9	0	0	1.41682751066877e-06	0.000269197227027066
HPRT1	HPRT1	317	9	9	0	0	2.049043232116e-06	0.000340653437339285
OCLN	OCLN	38	4	4	0	0	9.3634049480576e-06	0.0013837031756574
MCTP1	MCTP1	214	6	6	0	0	0.000111070788368898	0.0147724148530634
ERICH3	ERICH3	231	6	6	0	0	0.000168113641354113	0.0203264675455427
