Gene.1	Gene.2	cor.1	cor.2	cor.diff	p.1	p.2	p.diffcor	q.1	q.2	q.diffcor	type
CRYM,AAK1	CRYM	AAK1	0.247093205302161	0.830309423347398	0.583216218045238	0.0454816510134412	1.69026648529568e-21	3.49764297524757e-08	0.0784856055572095	3.90530585805047e-20	0.000129632065393762	same signed
PTER,AAK1	PTER	AAK1	0.303955745746791	0.810009376465073	0.506053630718282	0.0130949189023882	9.19001277768313e-20	1.69506513914008e-06	0.0271120746331649	1.69409718219041e-18	0.000931166114400217	same signed
SYN2,AAK1	SYN2	AAK1	0.329339317399019	0.849624941397093	0.520285623998074	0.00692930497538396	2.23524748413991e-23	7.75951196629876e-08	0.0157161216490494	6.62026815894278e-22	0.00019636159436988	same signed
ZNF804A,ACSL4	ZNF804A	ACSL4	0.252395365828202	0.814510079699953	0.562114713871751	0.0409020066546192	3.95366368634939e-20	2.06172165784224e-07	0.071727380777465	7.62976556804315e-19	0.000318216607304728	same signed
JPH1,AKAP5	JPH1	AKAP5	0.31238910343388	0.827754336615096	0.515365233181217	0.0106607567804928	2.87552761451251e-21	4.43665135296811e-07	0.0227433141868089	6.43721383453102e-20	0.000463762787177468	same signed
MAGEE1,AKAP5	MAGEE1	AKAP5	0.300323557039975	0.806985466479137	0.506661909439162	0.0142828537792793	1.59961581679888e-19	1.94671609543562e-06	0.0292138297061411	2.85965878479629e-18	0.00100961049165977	same signed
SSTR2,AMPH	SSTR2	AMPH	0.252437115123682	0.81699484294421	0.564557727820528	0.0408675202574121	2.4574275537887e-20	1.63081629089845e-07	0.0716771529209927	4.86709624628629e-19	0.000284987681782107	same signed
ZNF804A,ATP6V1A	ZNF804A	ATP6V1A	0.324538148418746	0.860407876230661	0.535869727811916	0.00784748779528009	1.52126968858023e-24	1.69671563465812e-08	0.0174820826931799	5.27886607852563e-23	8.80387893013786e-05	same signed
PLEKHM3,B3GALT2	PLEKHM3	B3GALT2	0.305041227429287	0.812189404594468	0.507148177165181	0.0127568890482327	6.125034254333e-20	1.45576717547335e-06	0.026512791686901	1.15455825931313e-18	0.00085537861176914	same signed
MAGEE1,B4GALT6	MAGEE1	B4GALT6	0.282788852938107	0.803070792311299	0.520281939373192	0.0214102853187253	3.23146949116054e-19	1.53818947645767e-06	0.0413034278230455	5.56401537175037e-18	0.000883792050800031	same signed
ENC1,BASP1	ENC1	BASP1	0.305834464043419	0.807079231129864	0.501244767086445	0.0125146594617679	1.57259142256454e-19	2.30409466683845e-06	0.0260796723624996	2.81388240959231e-18	0.00109067110222026	same signed
GRM1,C11orf87	GRM1	C11orf87	0.339734891973698	0.841514299109236	0.501779407135538	0.00525757334994093	1.47459010940426e-22	2.8037742683118e-07	0.0124091086063476	3.91433429218709e-21	0.000368666802869651	same signed
NRSN1,CACNA2D1	NRSN1	CACNA2D1	0.291180461329715	0.806165025785279	0.514984564455564	0.0176915453059432	1.85606007992629e-19	1.55497814402494e-06	0.0350921220295301	3.29202130465557e-18	0.000888871069607428	same signed
CNR1,CAP2	CNR1	CAP2	0.333806492015447	0.864697609001406	0.530891116985959	0.00616102999906492	4.90303145866284e-25	1.36406550499402e-08	0.0142141678891809	1.82380927713571e-23	7.5419517197063e-05	same signed
DIRAS2,CAP2	DIRAS2	CAP2	0.305082976724768	0.824003750586029	0.518920773861261	0.0127440398737044	6.1755733741101e-21	4.9745263352996e-07	0.0264890252258631	1.32315136402046e-19	0.000486307531701352	same signed
GPR22,CAP2	GPR22	CAP2	0.266047385450371	0.800914205344585	0.534866819894215	0.0308377692736567	4.72856066556625e-19	1.07598422793842e-06	0.0563964953018284	7.9740200997793e-18	0.00071603356234692	same signed
GRIA2,CAP2	GRIA2	CAP2	0.279908151549943	0.808345053914674	0.528436902364732	0.0228313948436941	1.24830765839372e-19	8.96373802294903e-07	0.0436346304381684	2.26371668736876e-18	0.000655082211239227	same signed
