Gene	CLs	DCLs	DCL.same	DCL.diff	DCL.switch	p	q
NEU3	NEU3	82	28	28	0	0	2.97667182564639e-30	3.96195019993534e-27
SC5D	SC5D	218	38	38	0	0	1.85373845562459e-28	1.23366294221816e-25
CHGB	CHGB	41	19	19	0	0	4.31904776146986e-24	1.91621752350546e-21
SYT13	SYT13	109	21	21	0	0	2.34784382681338e-17	7.81245033372151e-15
MT-RNR2	MT-RNR2	158	22	22	0	0	5.20982847672443e-15	1.38685634050404e-12
PCDHGA9	PCDHGA9	27	11	11	0	0	9.50803299883064e-14	2.10919865357393e-11
PCDHGC4	PCDHGC4	158	19	19	0	0	5.20254137134468e-12	9.89226080751396e-10
EID1	EID1	145	17	17	0	0	1.00515496331815e-10	1.67232657022057e-08
TTC3P1	TTC3P1	212	20	20	0	0	1.25948326888079e-10	1.86263581208926e-08
FAM3C	FAM3C	213	17	17	0	0	3.63502760593008e-08	4.83822174349294e-06
SYT2	SYT2	81	10	10	0	0	4.28118087791409e-07	5.18022886227605e-05
SMCR8	SMCR8	128	11	11	0	0	4.39725293194942e-06	0.000487728637702057
SMG8	SMG8	135	11	11	0	0	7.34576058191406e-06	0.000752092871886739
CDK5R1	CDK5R1	90	9	9	0	0	9.43190832384457e-06	0.000896704998502651
MAGEE1	MAGEE1	129	10	10	0	0	2.91374641072737e-05	0.00258546431511875
KSR2	KSR2	25	5	5	0	0	3.21086042531315e-05	0.00267103451630738
NFAT5	NFAT5	172	11	11	0	0	6.96854138247445e-05	0.00545595798827852
M6PR	M6PR	178	11	11	0	0	9.46802216950109e-05	0.00700107639311442
PHACTR1	PHACTR1	32	5	5	0	0	0.000111480772838241	0.00780952150777363
TSTD2	TSTD2	128	9	9	0	0	0.000152731441811292	0.0101642774525415
TUBA1B	TUBA1B	77	7	7	0	0	0.00016888707306417	0.0107042235356386
ZNF483	ZNF483	145	9	9	0	0	0.000386826254698091	0.0234029884092345
ERV3-1	ERV3-1	154	9	9	0	0	0.000598787952662276	0.0346515984779778
LYPLA1	LYPLA1	100	7	7	0	0	0.000833224857893085	0.046209261910654
MTX3	MTX3	164	9	9	0	0	0.000937007112862212	0.0498862586887842
PRKCB	PRKCB	30	4	4	0	0	0.00103346199988709	0.0529053046865273
NELL2	NELL2	170	9	9	0	0	0.00120506724298172	0.0594053518669877
SYNJ1	SYNJ1	253	11	11	0	0	0.00179939205495768	0.0855353866124527
