Gene.1	Gene.2	cor.1	cor.2	cor.diff	p.1	p.2	p.diffcor	q.1	q.2	q.diffcor	type
MT-RNR2,ACSL4	MT-RNR2	ACSL4	-0.857648601398601	-0.26207400194742	0.595574599451182	7.38096846365688e-20	0.0196389117906496	2.90015522708131e-09	4.51431417197237e-18	0.0511499740252511	2.29436338424683e-05	same signed
NEU3,ACSL4	NEU3	ACSL4	0.841783216783217	0.207205452775073	-0.634577764008144	1.59995482446065e-18	0.0669116003663561	2.80239298433571e-09	7.30372292220125e-17	0.136296266367435	2.26980820620908e-05	same signed
PCDHGC4,ACSL4	PCDHGC4	ACSL4	0.876311188811189	0.359177215189873	-0.517133973621315	1.1841383901015e-21	0.00115098600489862	9.02223917798040e-09	1.08958828675662e-19	0.00492212822074127	3.68327122358222e-05	same signed
SMCR8,ACSL4	SMCR8	ACSL4	0.855201048951049	0.349001947419669	-0.50619910153138	1.21473974150276e-19	0.00161988379830036	1.02244747113289e-07	7.08253959438306e-18	0.0065475648657369	0.000123988451259012	same signed
SYT2,ACSL4	SYT2	ACSL4	0.833522727272727	0.316796494644596	-0.516726232628131	6.96529202973679e-18	0.00444776108108639	3.5354168792523e-07	2.77080807498319e-16	0.0151804354191512	0.000249002045899065	same signed
TSTD2,ACSL4	TSTD2	ACSL4	0.844536713286713	0.293573515092502	-0.550963198194211	9.6162956494649e-19	0.00864252843413086	4.77364276996184e-08	4.60127471999831e-17	0.0261889120449204	8.89231094648922e-05	same signed
NOMO2,ADAM9	NOMO2	ADAM9	0.835926573426573	0.267405063291139	-0.568521510135434	4.57814778342983e-18	0.0171990658629941	4.91486003006969e-08	1.89360642232482e-16	0.0459157134209375	8.90160599236431e-05	same signed
PCDHGC4,ADAM9	PCDHGC4	ADAM9	0.813024475524476	0.311611489776047	-0.501412985748429	1.94095156714688e-16	0.00518222894032196	1.99514005583268e-06	5.78477198692667e-15	0.0172116362006473	0.00062582548802507	same signed
SCN8A,ADAM9	SCN8A	ADAM9	0.803583916083916	0.293086660175268	-0.510497255908648	7.85767014003504e-16	0.00875891460103726	2.43030177449199e-06	2.07847763078589e-14	0.0264746143660206	0.000691021240250534	same signed
TSTD2,ADAM9	TSTD2	ADAM9	0.833741258741259	0.310905550146057	-0.522835708595202	6.70642615257571e-18	0.00529011595906656	2.82474696300383e-07	2.67659459353115e-16	0.0175053553368181	0.000217157928643644	same signed
CHGB,AMPH	CHGB	AMPH	0.869230769230769	0.298855890944499	-0.570374878286271	6.11762158105395e-21	0.00746425225757903	2.37339925490687e-09	4.7649583703577e-19	0.0232300280871619	2.1104588577403e-05	same signed
SC5D,AMPH	SC5D	AMPH	0.844318181818182	0.216114897760467	-0.628203284057715	1.00163892811165e-18	0.0557574743244648	2.85928591914342e-09	4.7759202660941e-17	0.117992967393461	2.28864309086392e-05	same signed
ERV3-1,AP1AR	ERV3-1	AP1AR	0.817788461538462	0.288534566699124	-0.529253894839338	9.2984484540522e-17	0.00991527000593532	6.1900762449163e-07	2.94918730532255e-15	0.0292988096110184	0.000329537282008411	same signed
TTC3P1,AP1AR	TTC3P1	AP1AR	0.866520979020979	0.267891918208374	-0.598629060812605	1.11846540961981e-20	0.0169898389703375	1.0440088793473e-09	8.21948849162175e-19	0.0454556043983916	1.69119744086098e-05	same signed
SC5D,ARFGEF2	SC5D	ARFGEF2	0.870935314685315	0.330963972736125	-0.53997134194919	4.15664962823768e-21	0.00288973478772133	6.52805964840297e-09	3.35550818428739e-19	0.0105996929632843	3.3145053660053e-05	same signed
SYT13,ARFGEF2	SYT13	ARFGEF2	0.816608391608392	0.265895813047712	-0.55071257856068	1.11799232872665e-16	0.0178618086107445	3.26034828912469e-07	3.48900682888303e-15	0.0473577723713601	0.00023724212003606	same signed
GPRASP1,ASAP2	GPRASP1	ASAP2	0.802272727272727	0.254454722492697	-0.54781800478003	9.48509196646631e-16	0.0236368331428387	7.9577091471883e-07	2.47148200199034e-14	0.0593876414708627	0.000373902966373631	same signed
NEU3,ASAP2	NEU3	ASAP2	0.821022727272727	0.216528724440117	-0.60449400283261	5.57293814226459e-17	0.0552787570801436	3.96527812807079e-08	1.84974620324387e-15	0.117199364434636	8.20006259116223e-05	same signed
PCDHGA9,ASAP2	PCDHGA9	ASAP2	0.854589160839161	0.280817916260954	-0.573771244578207	1.37390443106081e-19	0.0121814532937489	8.82128192714049e-09	7.90687694654849e-18	0.0346606851366235	3.63736738983711e-05	same signed
SYT2,ASAP2	SYT2	ASAP2	0.820367132867133	0.29311100292113	-0.527256129946003	6.18741444208338e-17	0.00875306285200897	5.68084209451314e-07	2.03572487897398e-15	0.0264599832718211	0.000316805197398775	same signed
NFAT5,ATL1	NFAT5	ATL1	0.827578671328671	0.327434274586173	-0.500144396742498	1.911729910819e-17	0.00322358356879904	9.05829845576633e-07	6.95804030307988e-16	0.0116117310668881	0.000399411082026159	same signed
MT-RNR2,ATP6V1A	MT-RNR2	ATP6V1A	-0.819361888111888	-0.311173320350536	0.508188567761353	7.25779036436584e-17	0.00524896140723834	1.1290919157414e-06	2.35565189871687e-15	0.0173942137558026	0.000449233979465341	same signed
NEU3,ATP6V1A	NEU3	ATP6V1A	0.808085664335664	0.281840311587147	-0.526245352748517	4.07275515754941e-16	0.0118574455700109	1.17057185189395e-06	1.1381048062371e-14	0.0338992500439457	0.000455450682692125	same signed
SC5D,ATP8A2	SC5D	ATP8A2	0.885445804195804	0.377312560856865	-0.508133243338939	1.21885343542689e-22	0.000608488449171534	4.52130466399581e-09	1.43049912399599e-20	0.00287864137792855	2.79157586732942e-05	same signed
RAB3A,BEX5	RAB3A	BEX5	0.840384615384615	0.326898734177215	-0.5134858812074	2.06445900729006e-18	0.00327713969317746	2.46358848210448e-07	9.20310178652126e-17	0.0117751585087478	0.000201916936906908	same signed
IMPA1,CACNB4	IMPA1	CACNB4	0.803802447552448	0.253261927945472	-0.550540519606975	7.6139410734125e-16	0.0243214783659877	6.72913855748192e-07	2.01942482560736e-14	0.0607894894439611	0.000342268612614245	same signed
PRKCB,CACNB4	PRKCB	CACNB4	0.813155594405594	0.213875365141188	-0.599280229264406	1.90256852689359e-16	0.0584072506594152	7.85987916973596e-08	5.67858488934349e-15	0.122422620868001	0.000109133780648994	same signed
SC5D,CACNB4	SC5D	CACNB4	0.870410839160839	0.304941577409932	-0.565469261750907	4.68423365009773e-21	0.00628387573918718	2.53564991226085e-09	3.73838110312509e-19	0.0201750931140065	2.16827034648298e-05	same signed
TASOR2,CACNB4	TASOR2	CACNB4	0.805113636363636	0.214654333008763	-0.590459303354873	6.29712692639951e-16	0.0574741954700005	1.70027262713646e-07	1.69702906312766e-14	0.120863099294863	0.000163726489791641	same signed
SUCLA2,CACNG2	SUCLA2	CACNG2	0.838243006993007	0.336319376825706	-0.501923630167301	3.03578326666899e-18	0.00244208720914046	4.27567415250962e-07	1.30681970205263e-16	0.00921443526993326	0.000273659637072023	same signed
SC5D,CADPS	SC5D	CADPS	0.822989510489511	0.250803310613437	-0.572186199876073	4.06156420157829e-17	0.0257859713714159	1.06098513752428e-07	1.38951570460603e-15	0.0636996277176466	0.000126832001968536	same signed
MAGEE1,CASD1	MAGEE1	CASD1	0.830201048951049	0.239946445959104	-0.590254602991945	1.23045074441425e-17	0.0331782984215618	3.45774970877955e-08	4.65523382594909e-16	0.0780113917444558	7.4920956994107e-05	same signed
SC5D,CASD1	SC5D	CASD1	0.86097027972028	0.259469328140214	-0.601500951580066	3.6977616974184e-20	0.0209350033635689	1.66323821382264e-09	2.42277816469306e-18	0.0538574619738077	1.81263637419392e-05	same signed
MAGEE1,CDC40	MAGEE1	CDC40	0.828627622377622	0.315335929892892	-0.51329169248473	1.60424143664659e-17	0.00464466825098123	5.45971352128305e-07	5.93283311452037e-16	0.0157276724710752	0.000309201290124154	same signed
SYT13,CDC40	SYT13	CDC40	0.806118881118881	0.250486854917235	-0.555632026201646	5.43869312671895e-16	0.0259797922020654	5.03992990896762e-07	1.48438490628515e-14	0.0640886055199036	0.000296039981284147	same signed
MT-RNR2,CDH18	MT-RNR2	CDH18	-0.877403846153846	-0.36333982473223	0.514064021421616	9.10876126375431e-22	0.000997568381481826	9.04088115483148e-09	8.61686029222628e-20	0.00436540271423747	3.68327122358222e-05	same signed
NEU3,CDH18	NEU3	CDH18	0.828977272727273	0.281548198636806	-0.547429074090466	1.51275875405747e-17	0.011949245754074	1.67046489973899e-07	5.62078564070393e-16	0.0341136763967335	0.00016259215588717	same signed
SYT2,CDH18	SYT2	CDH18	0.850043706293706	0.318841285296982	-0.531202420996725	3.37051386073238e-19	0.00418455379978932	6.2783822807333e-08	1.78096161913773e-17	0.0144293269259502	9.9338754579116e-05	same signed
