Gene	CLs	DCLs	DCL.same	DCL.diff	DCL.switch	p	q
CCN3	CCN3	257	247	247	0	0	0	0
SULF1	SULF1	46	44	44	0	0	1.17901672925472e-102	7.84635633319017e-100
PKP2	PKP2	40	40	20	20	0	3.98179336848219e-96	1.76658899114993e-93
ENPP6	ENPP6	21	17	17	0	0	1.68005445616296e-37	5.59038120288223e-35
SEMA3D	SEMA3D	39	13	13	0	0	7.26825371952754e-22	1.93480914013823e-19
ASAP2	ASAP2	31	6	6	0	0	3.30119014077686e-09	7.32314012895666e-07
ECT2	ECT2	331	11	11	0	0	1.9293258818916e-07	3.66847535542532e-05
ZBTB38	ZBTB38	65	6	6	0	0	3.28483654426227e-07	5.46514680051635e-05
CRIM1	CRIM1	40	5	5	0	0	6.93488407044748e-07	0.000102559229975173
N4BP2	N4BP2	33	4	4	0	0	1.07259107341561e-05	0.00142761871871618
B3GNT5	B3GNT5	39	4	4	0	0	2.1138428321585e-05	0.00234460400800248
P2RY12	P2RY12	39	4	4	0	0	2.1138428321585e-05	0.00234460400800248
ADCY7	ADCY7	41	4	4	0	0	2.58558164133008e-05	0.00264723781893102
ANLN	ANLN	61	4	4	0	0	0.000124776138743795	0.0118626457619994
PCDHGA3	PCDHGA3	26	3	3	0	0	0.000169484285493085	0.0150389055994197
PRKG2	PRKG2	6	2	1	1	0	0.000251952400357353	0.0209592903047273
NFAT5	NFAT5	35	3	3	0	0	0.000414987127228924	0.0324910509612763
GK5	GK5	9	2	2	0	0	0.000599724171682851	0.044346270694993
CX3CR1	CX3CR1	41	3	3	0	0	0.000663550862116377	0.0464834840777315
DENND4C	DENND4C	53	3	3	0	0	0.00140549754623126	0.0935358617016905
