Gene.1	Gene.2	cor.1	cor.2	cor.diff	p.1	p.2	p.diffcor	q.1	q.2	q.diffcor	type
CCN3,ABCC12	CCN3	ABCC12	0.823491239454899	0.214955461790905	-0.608535777663994	6.68329397875328e-18	0.0555168637918523	1.74726326740426e-08	5.22031683716814e-17	0.0858088449011736	1.97946026149445e-05	same signed
ADCY7,ABCC4	ADCY7	ABCC4	0.807038973928312	0.292334739803094	-0.514704234125218	9.5652664792975e-17	0.00850544653268818	1.21871803626661e-06	6.76982655479177e-16	0.0159479407927879	0.000412726840155493	same signed
CX3CR1,ABCC4	CX3CR1	ABCC4	0.810932549528572	0.178152836380684	-0.632779713147887	5.21676067563869e-17	0.113867699373636	1.71950991223468e-08	3.77587049866298e-16	0.161725369056041	1.96950754780792e-05	same signed
P2RY12,ABCC4	P2RY12	ABCC4	0.818452494560446	0.258954524144398	-0.559497970416048	1.55338618995168e-17	0.0203721987663975	1.38862805920681e-07	1.17623997683021e-16	0.0350682607741712	8.88775517394171e-05	same signed
SULF1,ACSL4	SULF1	ACSL4	0.812115891132572	0.256985466479137	-0.555130424653435	4.32688269541968e-17	0.0213822996804624	2.37796150992509e-07	3.1548377888572e-16	0.0366245718091872	0.000131534330963751	same signed
TMEM161B,ADAM9	TMEM161B	ADAM9	0.834713898538	0.325128926394749	-0.509584972143251	9.24276947281915e-19	0.00325396530285586	2.71837887311221e-07	7.80413994055041e-18	0.00666377029849143	0.000144943492828331	same signed
ALOX5,ADCY7	ALOX5	ADCY7	0.81505515898767	0.309962494139709	-0.505092664847961	2.7034756224389e-17	0.00514166277653465	1.07948811423064e-06	2.00492623577043e-16	0.0100992748666375	0.000383320257247429	same signed
CSF3R,ADCY7	CSF3R	ADCY7	0.838416612589228	0.242616033755274	-0.595800578833953	4.6574145967003e-19	0.0301297885270044	9.00481955667942e-09	4.04168729024581e-18	0.0497921588656168	1.25286871950961e-05	same signed
FPR1,ADCY7	FPR1	ADCY7	0.811085238767798	0.299695264885138	-0.511389973882659	5.09274768783713e-17	0.00691838723389892	1.09238257794964e-06	3.6899181163815e-16	0.0132227667990985	0.00038548470078651	same signed
SULF1,AFF2	SULF1	AFF2	0.81883421765851	0.229442100328176	-0.589392117330334	1.45857234421017e-17	0.0406293293725021	4.76247139502561e-08	1.10694687966176e-16	0.0650200196669447	4.14347800612663e-05	same signed
CCN3,AGBL4	CCN3	AGBL4	0.848990342405619	0.214674167838725	-0.634316174566894	5.95907049684507e-20	0.0558450186370456	8.176870291976e-10	5.63749761851024e-19	0.0862594194054069	2.34735175051438e-06	same signed
ECT2,AGBL4	ECT2	AGBL4	0.858228041378784	0.337716830754805	-0.520511210623978	8.65790673460483e-21	0.00218662729603026	2.83438177373085e-08	8.90597675248707e-20	0.00463911917849118	2.82343018734597e-05	same signed
SULF1,AKAP11	SULF1	AKAP11	0.811695995724701	0.265939990623535	-0.545756005101166	4.62447556857791e-17	0.0171111781411778	3.34861123496566e-07	3.36356551919825e-16	0.0299786995025168	0.000169513726817892	same signed
CCN3,AKAP5	CCN3	AKAP5	0.872008245218918	0.27093295827473	-0.601075286944188	3.72540831604944e-22	0.0150651169184753	2.71834332821186e-10	4.43255312391261e-21	0.026729492730084	1.13609086043855e-06	same signed
CCN3,AMPH	CCN3	AMPH	0.841050501965874	0.186497890295359	-0.654552611670515	2.83019986590514e-19	0.097640492515006	7.70561614515941e-10	2.50720382673023e-18	0.141333070501887	2.27191002090542e-06	same signed
