Gene.1	Gene.2	cor.1	cor.2	cor.diff	p.1	p.2	p.diffcor	q.1	q.2	q.diffcor	type
CYP2C8	HECW1	0.294665692363902	0.810422106645524	0.515756414281622	0.0139792002272693	3.96874734384103e-51	5.01403962793745e-09	0.0217926891379852	3.7668746200138e-50	1.65284992342338e-05	same signed
FAM153B	CAMKK1	0.334088417975886	0.851549724340391	0.517461306364505	0.00502313396569604	2.25746597528418e-61	8.98685570405178e-11	0.00839826240954702	3.13808299417835e-60	2.20161410015077e-06	same signed
FAM153B	SYT7	0.376251370113263	0.894569153674492	0.518317783561229	0.00144136056231095	4.33336619045128e-76	1.0413891970984e-13	0.00261304880657161	1.13434203742002e-74	9.69460445254811e-08	same signed
FAM153B	NGEF	0.320569967117282	0.849171796700656	0.528601829583374	0.00724261120734254	1.06469139465932e-60	6.59707843908564e-11	0.0118161257244503	1.44092280410288e-59	1.98825519603929e-06	same signed
FAM153B	CHGB	0.242126415783705	0.807471125383031	0.565344709599326	0.0450226389040289	1.72259797609081e-50	6.10336670092693e-10	0.0642363371060073	1.59834360000221e-49	5.46327611816722e-06	same signed
CKMT1B	SLC7A4	0.240080379978078	0.816544474410033	0.576464094431955	0.0469236251321656	1.73626416423095e-52	1.63693059107572e-10	0.0667274790561664	1.73111320382084e-51	2.54195246447503e-06	same signed
FAM153B	SYP	0.270332480818414	0.833551187586287	0.563218706767873	0.0246698875703312	1.5179490106843e-56	6.13147310701834e-11	0.0368953853106435	1.75423228209194e-55	1.98825519603929e-06	same signed
FAM153B	CRYM	0.350566313481915	0.868922555108963	0.518356241627048	0.00314540552719086	1.1098538372385e-66	8.78741523990811e-12	0.00542522704436447	1.90359686178134e-65	1.16863835275538e-06	same signed
CYP2C8	STMN2	0.288819875776398	0.812764524552225	0.523944648775828	0.0160919346883846	1.21503551495584e-51	2.83854673099881e-09	0.0248370879491765	1.17503585208892e-50	1.25445491473204e-05	same signed
FAM153B	STMN2	0.343697478991597	0.849960357668725	0.506262878677128	0.00383465659337318	6.38469144268728e-61	1.94898985839131e-10	0.00652599369386576	8.71638188112754e-60	2.7544433944815e-06	same signed
FAM153B	NCALD	0.317427840701498	0.839411518010475	0.521983677308977	0.00786765146880792	4.73290283183221e-58	2.73172373610464e-10	0.0127652358493341	5.78169859753505e-57	3.17972512007845e-06	same signed
FAM153B	NEFM	0.260284983558641	0.823566830235925	0.563281846677285	0.0307749645883882	4.13816011476657e-54	1.64533719981819e-10	0.0452537550969199	4.37561749144108e-53	2.54195246447503e-06	same signed
CKMT1B	NEFM	0.30920716112532	0.815798770016316	0.506591608890996	0.0097313101205759	2.55769460057193e-52	5.04237029907983e-09	0.0155611432659202	2.53433665901419e-51	1.65284992342338e-05	same signed
FAM153B	ATP1A3	0.266094263792474	0.812310244864099	0.546215981071625	0.0271069941551306	1.53055189113244e-51	1.02301322968401e-09	0.0402558698602167	1.4752458217408e-50	7.10711720828161e-06	same signed
FAM153B	RAB3A	0.298246255023749	0.833635676261437	0.535389421237689	0.0128070417301217	1.44531253348386e-56	2.49785081507525e-10	0.0200922152959573	1.67182504572084e-55	3.17972512007845e-06	same signed
FAM153B	PTPN5	0.366386554621849	0.878804056680881	0.512417502059032	0.00195972724096954	4.73092764214826e-70	2.69184674550615e-12	0.00348435295706322	9.38493536887377e-69	8.35306963598015e-07	same signed
FAM153B	GDA	0.365290464011692	0.869022961940301	0.503732497928609	0.00202659124171587	1.02899284657491e-66	1.96977989475045e-11	0.00359561307464004	1.76725022260715e-65	1.6670247249273e-06	same signed
FAM153B	RASL11B	0.321775666788455	0.854236219315458	0.532460552527003	0.00701459230952638	3.7869541282268e-62	2.91522361806074e-11	0.0114683578334204	5.42534503938162e-61	1.73450391993679e-06	same signed
FAM153B	MCHR1	0.222871757398612	0.810550676368579	0.587678918969967	0.0656630303191396	3.7206899416442e-51	1.60264024273715e-10	0.0908046383200233	3.53453394768647e-50	2.54195246447503e-06	same signed
FAM153B	SULT4A1	0.32897332846182	0.856230886733135	0.527257558271315	0.00577997372403669	9.82828819774198e-63	3.00401925557026e-11	0.00957580638022298	1.4406765024759e-61	1.73450391993679e-06	same signed
