Gene	CLs	DCLs	DCL.same	DCL.diff	DCL.switch	p	q	Project	Tissue
NEU3	82	28	28	0	0	2.97667182564639e-30	3.96195019993534e-27	Mayo	cerebellum
SC5D	218	38	38	0	0	1.85373845562459e-28	1.23366294221816e-25	Mayo	cerebellum
CHGB	41	19	19	0	0	4.31904776146986e-24	1.91621752350546e-21	Mayo	cerebellum
SYT13	109	21	21	0	0	2.34784382681338e-17	7.81245033372151e-15	Mayo	cerebellum
MT-RNR2	158	22	22	0	0	5.20982847672443e-15	1.38685634050404e-12	Mayo	cerebellum
PCDHGA9	27	11	11	0	0	9.50803299883064e-14	2.10919865357393e-11	Mayo	cerebellum
PCDHGC4	158	19	19	0	0	5.20254137134468e-12	9.89226080751396e-10	Mayo	cerebellum
EID1	145	17	17	0	0	1.00515496331815e-10	1.67232657022057e-08	Mayo	cerebellum
TTC3P1	212	20	20	0	0	1.25948326888079e-10	1.86263581208926e-08	Mayo	cerebellum
FAM3C	213	17	17	0	0	3.63502760593008e-08	4.83822174349294e-06	Mayo	cerebellum
SYT2	81	10	10	0	0	4.28118087791409e-07	5.18022886227605e-05	Mayo	cerebellum
SMCR8	128	11	11	0	0	4.39725293194942e-06	0.000487728637702057	Mayo	cerebellum
SMG8	135	11	11	0	0	7.34576058191406e-06	0.000752092871886739	Mayo	cerebellum
CDK5R1	90	9	9	0	0	9.43190832384457e-06	0.000896704998502651	Mayo	cerebellum
MAGEE1	129	10	10	0	0	2.91374641072737e-05	0.00258546431511875	Mayo	cerebellum
KSR2	25	5	5	0	0	3.21086042531315e-05	0.00267103451630738	Mayo	cerebellum
NFAT5	172	11	11	0	0	6.96854138247445e-05	0.00545595798827852	Mayo	cerebellum
M6PR	178	11	11	0	0	9.46802216950109e-05	0.00700107639311442	Mayo	cerebellum
PHACTR1	32	5	5	0	0	0.000111480772838241	0.00780952150777363	Mayo	cerebellum
TSTD2	128	9	9	0	0	0.000152731441811292	0.0101642774525415	Mayo	cerebellum
TUBA1B	77	7	7	0	0	0.00016888707306417	0.0107042235356386	Mayo	cerebellum
ZNF483	145	9	9	0	0	0.000386826254698091	0.0234029884092345	Mayo	cerebellum
ERV3-1	154	9	9	0	0	0.000598787952662276	0.0346515984779778	Mayo	cerebellum
LYPLA1	100	7	7	0	0	0.000833224857893085	0.046209261910654	Mayo	cerebellum
MTX3	164	9	9	0	0	0.000937007112862212	0.0498862586887842	Mayo	cerebellum
PRKCB	30	4	4	0	0	0.00103346199988709	0.0529053046865273	Mayo	cerebellum
NELL2	170	9	9	0	0	0.00120506724298172	0.0594053518669877	Mayo	cerebellum
SYNJ1	253	11	11	0	0	0.00179939205495768	0.0855353866124527	Mayo	cerebellum
CCN3	257	247	247	0	0	0	0	Mayo	temporal cortex
SULF1	46	44	44	0	0	1.17901672925472e-102	7.84635633319017e-100	Mayo	temporal cortex
