ENSG00000271043.1	MTRNR2L2
ENSG00000129277.9	CCL4
ENSG00000225972.1	MTND1P23
ENSG00000263711.1	RP11-169F17.1
ENSG00000201321.1	RNA5S9
ENSG00000262902.1	RP11-750B16.1
ENSG00000073756.7	PTGS2
ENSG00000252594.1	RNU6-656P
ENSG00000136689.14	IL1RN
ENSG00000142319.14	SLC6A3
ENSG00000185247.10	MAGEA11
ENSG00000237676.1	RPL30P4
ENSG00000165588.12	OTX2
ENSG00000168334.8	XIRP1
ENSG00000119508.13	NR4A3
ENSG00000254132.1	MTND6P3
ENSG00000120337.7	TNFSF18
ENSG00000122877.9	EGR2
ENSG00000257759.2	RP11-486O13.4
